"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: matrixSize","Param: sparsity"
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication","avgt",1,2,"0,001315",NaN,"ms/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate","avgt",1,2,"586,680822",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate.norm","avgt",1,2,"1016,120748",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"576,131586",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"995,615494",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,464424",NaN,"MB/sec",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"0,782365",NaN,"B/op",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.count","avgt",1,2,"14,000000",NaN,"counts",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.time","avgt",1,2,"30,000000",NaN,"ms",10,0.1
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication","avgt",1,2,"0,001357",NaN,"ms/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate","avgt",1,2,"570,661069",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.alloc.rate.norm","avgt",1,2,"1016,115663",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space","avgt",1,2,"548,410299",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Eden_Space.norm","avgt",1,2,"975,755028",NaN,"B/op",10,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Survivor_Space","avgt",1,2,"0,483353",NaN,"MB/sec",10,0.5
"org.example.MatrixMultiplicationBenchmark.testBasicMultiplication:·gc.churn.G1_Survivor_Space.norm","avgt",1,2,"0,821202",NaN,"B/op",10,0.5
