"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: MATRIX_SIZE","Param: NUM_THREADS"
"org.example.BenchmarkMatrixMultiplication.basicMultiplication","avgt",1,15,"0,001642","0,000205","ms/op",10,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.alloc.rate","avgt",1,15,"597,640541","75,760167","MB/sec",10,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.alloc.rate.norm","avgt",1,15,"1016,007312","0,000900","B/op",10,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.count","avgt",1,15,"86,000000",NaN,"counts",10,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.time","avgt",1,15,"199,000000",NaN,"ms",10,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication","avgt",1,15,"0,001686","0,000191","ms/op",10,2
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.alloc.rate","avgt",1,15,"580,046088","60,765508","MB/sec",10,2
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.alloc.rate.norm","avgt",1,15,"1016,007516","0,000859","B/op",10,2
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.count","avgt",1,15,"88,000000",NaN,"counts",10,2
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.time","avgt",1,15,"192,000000",NaN,"ms",10,2
"org.example.BenchmarkMatrixMultiplication.basicMultiplication","avgt",1,15,"0,001760","0,000172","ms/op",10,4
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.alloc.rate","avgt",1,15,"554,717812","55,279411","MB/sec",10,4
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.alloc.rate.norm","avgt",1,15,"1016,007848","0,000778","B/op",10,4
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.count","avgt",1,15,"87,000000",NaN,"counts",10,4
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.time","avgt",1,15,"204,000000",NaN,"ms",10,4
"org.example.BenchmarkMatrixMultiplication.basicMultiplication","avgt",1,15,"1,042153","0,102237","ms/op",100,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.alloc.rate","avgt",1,15,"75,664039","7,357769","MB/sec",100,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.alloc.rate.norm","avgt",1,15,"82104,771258","8,687631","B/op",100,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.count","avgt",1,15,"17,000000",NaN,"counts",100,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication:gc.time","avgt",1,15,"58,000000",NaN,"ms",100,1
"org.example.BenchmarkMatrixMultiplication.basicMultiplication","avgt",1,15,"1,018954","0,105300","ms/op",100,2
